date,Consumer Price Inflation,Crude WTI,Durable Goods Orders,FED Interest Rate,Non Farm Payrolls,Retail Sales,Treasury 10year Yield,Treasury 2year Yield,Treasury 5year Yield,Unemployment Rate
1913-01-01,9.800,,,,,,,,,
1913-02-01,9.800,,,,,,,,,
1913-03-01,9.800,,,,,,,,,
1913-04-01,9.800,,,,,,,,,
1913-05-01,9.700,,,,,,,,,
1913-06-01,9.800,,,,,,,,,
1913-07-01,9.900,,,,,,,,,
1913-08-01,9.900,,,,,,,,,
1913-09-01,10.000,,,,,,,,,
1913-10-01,10.000,,,,,,,,,
1913-11-01,10.100,,,,,,,,,
1913-12-01,10.000,,,,,,,,,
1914-01-01,10.000,,,,,,,,,
1914-02-01,9.900,,,,,,,,,
1914-03-01,9.900,,,,,,,,,
1914-04-01,9.800,,,,,,,,,
1914-05-01,9.900,,,,,,,,,
1914-06-01,9.900,,,,,,,,,
1914-07-01,10.000,,,,,,,,,
1914-08-01,10.200,,,,,,,,,
1914-09-01,10.200,,,,,,,,,
1914-10-01,10.100,,,,,,,,,
1914-11-01,10.200,,,,,,,,,
1914-12-01,10.100,,,,,,,,,
1915-01-01,10.100,,,,,,,,,
1915-02-01,10.000,,,,,,,,,
1915-03-01,9.900,,,,,,,,,
1915-04-01,10.000,,,,,,,,,
1915-05-01,10.100,,,,,,,,,
1915-06-01,10.100,,,,,,,,,
1915-07-01,10.100,,,,,,,,,
1915-08-01,10.100,,,,,,,,,
